LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL1486,A1 between A6136 and A684 (AL1486),A6136,A684,423949,497326,428270,489539
AL1488,A1 between A66 and A6136 (AL1488),A66,A6136,421606,505334,422097,501471
AL1489,A1 between A6136 and A6136 (AL1489),A6136,A6136,423933,497315,422084,501451
AL149,A5 between A428-E and A5 (AL149),A428-E,A5,457199,272987,456640,273640
AL1490,A1 between A6136 and A6136 (AL1490),A6136,A6136,422097,501471,423949,497326
AL1495A,A66 between A135 and A1150 (AL1495A),A135,A1150,443289,517042,432654,516369
AL1497,A19 between A168 and A168 (AL1497),A168,A168,442680,484436,444026,496921
AL1498,A19 between A168 and A168 (AL1498),A168,A168,444038,496923,442692,484442
AL1499,A19 between A170 and A168 (AL1499),A170,A168,444041,481854,442680,484436
AL15,A303 between A343 and A342 (AL15),A343,A342,434507,144769,433828,145776
AL1500,A19 between A168 and A170 (AL1500),A168,A170,442692,484442,444050,481804
AL1501,A19 between A168 and A172 (AL1501),A168,A172,444026,496921,444349,499153
AL1502,A19 between A172 and A168 (AL1502),A172,A168,444358,499265,444038,496923
AL1505,A19 between A174 and A67 (AL1505),A174,A67,446675,515009,443940,508717
AL1507,A19 between A67 and A174 (AL1507),A67,A174,443905,508670,446670,515210
AL1516,A19 between A1130 and A174 (AL1516),A1130,A174,447050,517336,446675,515009
AL1518,A19 between A174 and A1130 (AL1518),A174,A1130,446670,515210,446989,517244
AL1520,A66 between A135 and A1045 (AL1520),A135,A1045,443245,517055,445012,518032
AL1521,A66 between A1045 and A135 (AL1521),A1045,A135,445013,518022,443289,517042
AL1525,A66 between A1045 and A1130 (AL1525),A1045,A1130,445012,518032,445613,518132
AL1526,A66 between A1130 and A1045 (AL1526),A1130,A1045,445618,518122,445013,518022
AL1527A,A174 between A1032 and A1044 (AL1527A),A1032,A1044,449355,515321,448067,514939
AL1527B,A174 between A1044 and A19 (AL1527B),A1044,A19,448067,514939,446675,515009
AL1529,A1053 between A1085 and A174 (AL1529),A1085,A174,455726,520889,456811,519358
AL1530A,A174 between A171 and A1053 (AL1530A),A171,A1053,453457,516735,456799,519274
AL1530B,A174 between A1053 and A171 (AL1530B),A1053,A171,456811,519358,453463,516724
AL1532,A174 between A172 and A1032 (AL1532),A172,A1032,451692,515605,449355,515321
AL1534,A174 between A1032 and A172 (AL1534),A1032,A172,449338,515336,451681,515618
AL153B,A5 between A51 and M42 J10 (AL153B),A51,M42 J10,420048,303022,424443,300763
AL1542,A19 between A139 and A1027 (AL1542),A139,A1027,445273,521598,445072,522601
AL1543,A19 between A1027 and A139 (AL1543),A1027,A139,445035,522712,445278,521626
