LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL462,A1 between A6121 and A606 (AL462),A6121,A606,501203,306492,500660,307421
AL466,A46 between M1 J21A and A50 (AL466),M1 J21A,A50,452683,305035,453813,307385
AL467,A46 between A50 and M1 J21A (AL467),A50,M1 J21A,453900,307423,452903,304725
AL47,A34 between A4185 and A4130 (AL47),A4185,A4130,448765,186133,448391,191270
AL476,A14 between A43 and A6 (AL476),A43,A6,484894,279496,481540,280568
AL48,A34 between A4130 and A4185 (AL48),A4130,A4185,448323,191370,448777,186130
AL480,A30 between M5 J29 and A35 (AL480),M5 J29,A35,296891,93165,314809,100088
AL481,A30 between A35 and M5 J29 (AL481),A35,M5 J29,314770,100034,296874,93146
AL484A,A30 between A386 and A382 (AL484A),A386,A382,254937,91982,269615,92902
AL486,A30 between A395 and A388 (AL486),A395,A388,228860,83074,232559,83697
AL488,A30 between A388 and A395 (AL488),A388,A395,232549,83686,228782,82987
AL49,A34 between A4130 and A415 (AL49),A4130,A415,448391,191270,447740,196852
AL494,A1 between A19 and A197 (AL494),A19,A197,423256,574499,420385,582610
AL497,A69 between A6079 and A6079 (AL497),A6079,A6079,394188,565113,392990,565532
AL50,A34 between A415 and A4130 (AL50),A415,A4130,447788,196962,448323,191370
AL503,A1 between A1167 and A1 (AL503),A1167,A1,399000,654722,397372,657148
AL504,A1 between A1 and A1167 (AL504),A1,A1167,397392,657118,399032,654771
AL51,A34 between A415 and A4183 (AL51),A415,A4183,447740,196852,450709,200237
AL517,A69 between A68 and A6079 (AL517),A68,A6079,398561,565329,394188,565113
AL52,A34 between A4183 and A415 (AL52),A4183,A415,450707,200225,447788,196962
AL521A,A69 between A68 and A68 (AL521A),A68,A68,398559,565339,402350,563705
AL521B,A69 between A68 and A6085 (AL521B),A68,A6085,402350,563705,415663,567557
AL522,A69 between A6085 and A68 (AL522),A6085,A68,415665,567545,402421,563599
AL525,A1 between A197 and A19 (AL525),A197,A19,420387,582625,423266,574509
AL531,A19 between A1068 and A1171 (AL531),A1068,A1171,423266,574509,426194,574796
AL534,A19 between A189 and A1171 (AL534),A189,A1171,427070,574586,426193,574784
AL543,A19 between A194 and A185 (AL543),A194,A185,433797,563514,433367,564836
AL545,A19 between A185 and A194 (AL545),A185,A194,433333,564912,433807,563521
AL547,A19 between A194 and A184 (AL547),A194,A184,433807,563521,433844,560974
AL55,A34 between A4183 and A423 (AL55),A4183,A423,450709,200237,451312,203432
AL551,A696 between A1 and A696 (AL551),A1,A696,421253,567870,418295,571348
AL552,A696 between A696 and A1 (AL552),A696,A1,418330,571388,421316,567978
AL553,A1 between A1056 and A19 (AL553),A1056,A19,423836,571255,423256,574499
AL554,A1 between A696 and A1056 (AL554),A696,A1056,421243,567875,423836,571255
AL555,A1 between A19 and A1056 (AL555),A19,A1056,423266,574509,423848,571254
AL557,A69 between A6085 and A1 (AL557),A6085,A1,415663,567557,419725,565663
AL56,A34 between A423 and A4183 (AL56),A423,A4183,451250,203535,450707,200225
AL561,A1 between A692 and A184 (AL561),A692,A184,423775,560661,423268,561436
AL563,A1 between A692 and A167 (AL563),A692,A167,423752,560802,426688,557519
AL565,A1 between A1(M) J65 and A167 (AL565),A1(M) J65,A167,428325,556240,426797,557456
AL566,A19 between A184 and A194 (AL566),A184,A194,433792,560864,433797,563514
AL572,A19 between A1231 and A1290 (AL572),A1231,A1290,434660,557246,434156,559861
AL573,A19 between A1290 and A1231 (AL573),A1290,A1231,434166,559868,434671,557250
AL577,A19 between A183 and A690 (AL577),A183,A690,434847,555195,435608,552418
AL58,A34 between A420 and A423 (AL58),A420,A423,448683,206658,451250,203535
AL581,A19 between A182 and A182 (AL581),A182,A182,440845,544000,441024,546652
AL583,A19 between A689 and A179 (AL583),A689,A179,444633,526024,444190,534272
AL585,A19 between A179 and A689 (AL585),A179,A689,444203,534272,444702,526128
AL590,A19 between A1046 and A139 (AL590),A1046,A139,446934,520492,445273,521598
AL591,A19 between A139 and A1046 (AL591),A139,A1046,445278,521626,446832,520538
AL593,A19 between A66 and A1046 (AL593),A66,A1046,447456,518891,446934,520492
AL594,A19 between A66 and A1130 (AL594),A66,A1130,447470,518904,447050,517336
AL595,A19 between A1130 and A66 (AL595),A1130,A66,446989,517244,447456,518891
AL597,A19 between A1046 and A66 (AL597),A1046,A66,446832,520538,447470,518904
AL600,A66 between A19 and A1130 (AL600),A19,A1130,447456,518891,445618,518122
AL602,A66 between A1130 and A19 (AL602),A1130,A19,445613,518132,447470,518904
AL61,A34 between A423 and A420 (AL61),A423,A420,451312,203432,448647,206546
AL611A,A66 between A1150 and A135 (AL611A),A1150,A135,432611,516365,443245,517055
AL621,A3 between A325 and A272 (AL621),A325,A272,479067,131135,475158,124936
AL623,A3 between A272 and A325 (AL623),A272,A325,475146,124945,479063,131146
AL627,,,,,,,
AL628,,,,,,,
AL634,A3 between A31 and A322 (AL634),A31,A322,496352,148491,498638,150771
AL636,A3 between A322 and A31 (AL636),A322,A31,498640,150762,496368,148487
AL641,A3 between A247 and M25 J10 (AL641),A247,M25 J10,504024,154418,508065,159258
AL643,A3 between M25 J10 and A247 (AL643),M25 J10,A247,508085,159269,504031,154404
AL644,A3 between A245 and M25 J10 (AL644),A245,M25 J10,509682,160723,508085,159269
AL647,A3 between M25 J10 and A245 (AL647),M25 J10,A245,508065,159258,509575,160672
AL65,A34 between M40 J9 and A44 (AL65),M40 J9,A44,455307,219149,449385,210962
AL658,A23 between A2300 and A272 (AL658),A2300,A272,526913,120285,526598,122399
AL659,A23 between A272 and A2300 (AL659),A272,A2300,526614,122407,526928,120285
AL660,A23 between A272 and M23 J11 (AL660),A272,M23 J11,526598,122399,526087,133101
AL664,A27 between A259 and A286 (AL664),A259,A286,484654,104436,485703,103868
AL669,A27 between A285 and A285 (AL669),A285,A285,487743,105410,489569,106732
AL670,A27 between A285 and A285 (AL670),A285,A285,489575,106721,487803,105442
AL682,A27 between A280 and A284 (AL682),A280,A284,509098,105490,502914,105862
AL69,A419 between A361 and A420 (AL69),A361,A420,417574,187966,418536,186488
AL690,A27 between A270 and A283 (AL690),A270,A283,523137,106494,520849,106447
AL692,A27 between A283 and A270 (AL692),A283,A270,520851,106460,523117,106513
AL698,A27 between A270 and A23 (AL698),A270,A23,534077,108463,529803,109266
AL7,A303 between A359 and A371 (AL7),A359,A371,360661,126614,371000,127790
AL70,A419 between A420 and A361 (AL70),A420,A361,418601,186345,417568,187955
AL700,A27 between A23 and A270 (AL700),A23,A270,529781,109275,534086,108477
AL705,A23 between A27 and A273 (AL705),A27,A273,529795,109261,529308,112083
AL706,A23 between A273 and A27 (AL706),A273,A27,529317,112128,529791,109282
AL708,A27 between A277 and A270 (AL708),A277,A270,539266,109351,534077,108463
AL709,A27 between A270 and A277 (AL709),A270,A277,534086,108477,539199,109380
AL71,A417 between A419 and A429 (AL71),A419,A429,406129,199136,403691,202758
AL711,A27 between A26 and A277 (AL711),A26,A277,542611,109172,539266,109351
AL712,A27 between A277 and A26 (AL712),A277,A26,539199,109380,542549,109198
AL716,A27 between A2270 and A22 (AL716),A2270,A22,557802,104722,557767,105539
AL719,A27 between A22 Westbound and A22 Westbound (AL719),A22 Westbound,A22 Westbound,560360,104755,557799,105562
AL72,A417 between A429 and A419 (AL72),A429,A419,403700,202766,406145,199134
AL720,A27 between A22 Eastbound and A22 Eastbound (AL720),A22 Eastbound,A22 Eastbound,557767,105539,560339,104770
AL731,A31 between A338 and A338 (AL731),A338,A338,413196,104380,414743,105586
AL732,A31 between A338 and A338 (AL732),A338,A338,414792,105595,413265,104423
AL734,A31 between A338 and A348 (AL734),A338,A348,413265,104423,409114,101508
AL739,A31 between A348 and A338 (AL739),A348,A338,409081,101536,413196,104380
AL745A,A174 between A1044 and A1032 (AL745A),A1044,A1032,448066,514957,449338,515336
AL745B,A174 between A19 and A1044 (AL745B),A19,A1044,446670,515210,448066,514957
AL749,A1053 between A174 and A1085 (AL749),A174,A1085,456799,519274,455689,520880
AL752,A19 between A67 and A172 (AL752),A67,A172,443940,508717,444358,499265
AL753,A19 between A172 and A67 (AL753),A172,A67,444349,499153,443905,508670
AL757,A1 between A66 and A1(M) J56 (AL757),A66,A1(M) J56,421592,505250,421575,507619
AL758,A1 between A6136 and A66 (AL758),A6136,A66,422084,501451,421592,505250
AL762,A1 between A1(M) J56 and A66 (AL762),A1(M) J56,A66,421580,507508,421606,505334
AL765,A66 between M6 J40 and A6 (AL765),M6 J40,A6,350961,528901,352114,529101
AL766,A66 between A6 and M6 J40 (AL766),A6,M6 J40,352263,529112,351166,528956
AL767,A66 between A592 and M6 J40 (AL767),A592,M6 J40,349634,528443,350961,528901
AL769,A66 between M6 J40 and A592 (AL769),M6 J40,A592,351166,528956,349722,528420
AL784,A30 between A3047 and A3074 (AL784),A3047,A3074,163278,40537,154475,36122
AL789,A30 between A30 and A3044 (AL789),A30,A3044,507238,173073,504294,171995
AL790,A30 between A3044 and A30 (AL790),A3044,A30,504324,171972,507236,173086
AL792,A30 between A3044 and M25 J13 (AL792),A3044,M25 J13,504294,171995,502256,172659
AL797,A30 between A394 and A30 (AL797),A394,A30,150652,31882,149089,31393
AL798,A30 between A30 and A394 (AL798),A30,A394,149044,31415,150628,31878
AL8,A303 between A371 and A359 (AL8),A371,A359,371224,127816,360655,126601
AL80,A449 between A40 and M50 J4 (AL80),A40,M50 J4,360686,225533,361394,225881
AL801,A30 between A39 and A3076 (AL801),A39,A3076,184650,53952,186177,54779
AL802,A30 between A3076 and A39 (AL802),A3076,A39,186179,54767,184705,53982
AL806,A4 between A403 and M5 (AL806),A403,M5,351670,178529,352100,178370
AL807,A4 between M5 and A403 (AL807),M5,A403,352071,178329,351672,178502
AL809,A49 between A438 and A465 (AL809),A438,A465,350771,240214,350764,239185
AL811,A49 between A465 and A438 (AL811),A465,A438,350750,239168,350686,240055
AL817,A5 between A458 and A488 (AL817),A458,A488,344776,313527,345851,310627
AL818,A5 between A488 and A458 (AL818),A488,A458,345884,310554,344756,313481
AL820,A5 between A5112 and A458 (AL820),A5112,A458,348778,309709,351385,310249
AL821,A5 between A5112 and A488 (AL821),A5112,A488,348854,309681,345884,310554
AL822,A5 between A488 and A5112 (AL822),A488,A5112,345851,310627,348778,309709
AL824,A5 between A5064 and A458 (AL824),A5064,A458,352127,310753,351391,310240
AL825,A5 between A458 and A5064 (AL825),A458,A5064,351385,310249,352062,310695
AL827,A5 between M54 J7 and A49 (AL827),M54 J7,A49,363138,310549,352843,312245
AL828,A5 between A49 and M54 J7 (AL828),A49,M54 J7,352799,312248,363143,310568
AL830,A5 between A5064 and A49 (AL830),A5064,A49,352062,310695,352799,312248
AL831,A5 between A49 and A5064 (AL831),A49,A5064,352843,312245,352127,310753
AL836,A590 between A591 and A6 (AL836),A591,A6,350458,486954,349875,486475
AL840,A590 between M6 J36 and A65 (AL840),M6 J36,A65,353340,482604,353631,482404
AL841,A590 between A65 and M6 J36 (AL841),A65,M6 J36,353613,482388,353428,482467
AL842,A590 between M6 J36 and A591 (AL842),M6 J36,A591,353428,482467,350458,486954
AL843,A590 between A591 and M6 J36 (AL843),A591,M6 J36,350360,486983,353340,482604
AL863,A64 between A1079 and A19 (AL863),A1079,A19,464928,451706,461390,448061
AL866,A64 between A19 and A1079 (AL866),A19,A1079,461383,448075,464940,451577
AL901,A556 between A50 and A5034 (AL901),A50,A5034,372713,381684,373109,383176
AL936,A5036 between A5090 and A567 (AL936),A5090,A567,333855,397475,333480,397236
AL937,A5036 between A565 and A567 (AL937),A565,A567,332620,396930,333381,397210
AL94,A40 between A40 and A4137 (AL94),A40,A4137,352642,214881,355680,218388
AL948A,A494 between M56 J16 and A540 (AL948A),M56 J16,A540,338014,372291,336574,371841
AL95,A40 between A4137 and A40 (AL95),A4137,A40,355732,218413,352659,214938
AL950A,A494 between A550 and A540 (AL950A),A550,A540,333864,371100,336563,371854
AL951A,A494 between A540 and M56 J16 (AL951A),A540,M56 J16,336563,371854,338027,372306
AL96,A40 between A49 and A4137 (AL96),A49,A4137,358796,224365,355732,218413
AL968,A5 between A458 and A5112 (AL968),A458,A5112,351391,310240,348854,309681
AL97,A49 between A456 and A4112 (AL97),A456,A4112,352054,268466,351375,260892
AL971,A47 between A1042 and A146 (AL971),A1042,A146,628806,308505,625047,306234
AL972,A47 between A146 and A1042 (AL972),A146,A1042,625022,306228,628798,308515
AL975,A47 between A1042 and A1042 (AL975),A1042,A1042,628798,308515,629769,308539
AL978,A47 between A1074 and A11 (AL978),A1074,A11,615563,310602,618398,305538
AL979,A47 between A11 and A1074 (AL979),A11,A1074,618451,305438,615554,310593
AL98,A49 between A489 and A4113 (AL98),A489,A4113,343290,284774,348075,276970
AL986,A47 between A148 and A10 (AL986),A148,A10,561722,318129,563262,318175
AL990,A47 between A17 and A148 (AL990),A17,A148,560681,318688,561722,318129
AL992,A1 between A151 and A606 (AL992),A151,A606,493745,323831,500677,307417
AL994A,A38 between A5192 and A5206 (AL994A),A5192,A5206,414030,309475,412606,307309
AL996A,A38 between A5206 and A5192 (AL996A),A5206,A5192,412548,307196,414018,309478
AL997,A38 between A5192 and A5127 (AL997),A5192,A5127,414018,309478,414399,310543
AL998,A38 between A5127 and A5192 (AL998),A5127,A5192,414414,310549,414030,309475
LM1,A1(M) between A1(M) J14 and A1(M) J15 (LM1),A1(M) J14,A1(M) J15,518646,277834,517777,282282
LM10,A1(M) between A1(M) J1 and A1(M) J2 (LM10),A1(M) J1,A1(M) J2,522488,200121,521800,205719
LM100,M10 between M1 J7 and M10 J1 (LM100),M1 J7,M10 J1,510211,206527,514394,205099
LM1000,M6 between M6 J40 and M6 J41 (LM1000),M6 J40,M6 J41,351090,528876,349056,533392
LM1001,M6 between M6 J41 and M6 J40 (LM1001),M6 J41,M6 J40,349075,533512,351008,528978
LM1002,M6 between M6 J41 and M6 J42 (LM1002),M6 J41,M6 J42,349056,533392,343685,551697
LM1003,M6 between M6 J42 and M6 J41 (LM1003),M6 J42,M6 J41,343739,551868,349075,533512
LM1004,M6 between M6 J42 and M6 J43 (LM1004),M6 J42,M6 J43,343685,551697,343218,555924
LM1005,M6 between M6 J43 and M6 J42 (LM1005),M6 J43,M6 J42,343227,556044,343739,551868
LM1006A,M6 between M6 J43 and M6 J44 (LM1006A),M6 J43,M6 J44,343218,555924,339515,559889
LM1007A,M6 between M6 J44 and M6 J43 (LM1007A),M6 J44,M6 J43,339395,559924,343227,556044
LM1008A,M6 between M6 J4 and M6 J4A (LM1008A),M6 J4,M6 J4A,420042,286561,417169,290342
LM1009A,M6 between M6 J4A and M6 J4 (LM1009A),M6 J4A,M6 J4,417352,290177,419923,286637
LM101,M11 between M11 J14 and A14 (LM101),M11 J14,A14,541727,260870,540628,262228
LM1010,M6 between M6 J4A and M6 J5 (LM1010),M6 J4A,M6 J5,417169,290342,413905,290162
LM1011,M6 between M6 J5 and M6 J4A (LM1011),M6 J5,M6 J4A,413902,290176,417352,290177
LM1012,M6 between M6 J6 and M6 J5 (LM1012),M6 J6,M6 J5,409448,290186,413902,290176
LM1013,M6 between M6 J5 and M6 J6 (LM1013),M6 J5,M6 J6,413905,290162,409474,290142
LM1015,M6 between M6 J6 and M6 J7 (LM1015),M6 J6,M6 J7,409474,290142,404712,295019
LM1016,M6 between M6 J7 and M6 J6 (LM1016),M6 J7,M6 J6,404474,294997,409448,290186
LM1017,M6 between M6 J7 and M6 J8 (LM1017),M6 J7,M6 J8,404712,295019,401587,295576
LM1018,M6 between M6 J8 and M6 J7 (LM1018),M6 J8,M6 J7,401599,295598,404474,294997
LM1019,M6 between M6 J8 and M6 J9 (LM1019),M6 J8,M6 J9,401587,295576,399916,296502
LM102,M11 between A14 and M11 J14 (LM102),A14,M11 J14,540620,262256,541717,260919
LM1020,M6 between M6 J9 and M6 J8 (LM1020),M6 J9,M6 J8,399846,296554,401599,295598
LM1021,M6 between M6 J9 and M6 J10 (LM1021),M6 J9,M6 J10,399916,296502,399121,298548
LM1022,M6 between M6 J10 and M6 J9 (LM1022),M6 J10,M6 J9,399134,298682,399846,296554
LM1023,M4 between M4 J21 and M4 J22 (LM1023),M4 J21,M4 J22,360127,185747,354469,185810
LM1024,M621 between M621 J6 and M621 J7 (LM1024),M621 J6,M621 J7,431006,430573,431874,430474
LM1025,M621 between M621 J5 and M621 J6 (LM1025),M621 J5,M621 J6,430424,430982,431006,430573
LM1026,M621 between M621 J7 and M621 J6 (LM1026),M621 J7,M621 J6,432030,430320,431008,430555
LM1027,M621 between M621 J6 and M621 J5 (LM1027),M621 J6,M621 J5,431008,430555,430408,431005
LM1028,M61 between M61 J3 and M61 J2 (LM1028),M61 J3,M61 J2,374339,404964,375127,403870
LM1029,M61 between M61 J2 and M61 J3 (LM1029),M61 J2,M61 J3,375109,403847,374160,404746
LM103,M11 between M11 J10 and M11 J11 (LM103),M11 J10,M11 J11,546569,246570,544014,253374
LM1030,M61 between M60 J15 and M61 J2 (LM1030),M60 J15,M61 J2,376710,403170,375109,403847
LM1031,M61 between M61 J2 and M60 J15 (LM1031),M61 J2,M60 J15,375127,403870,376686,403193
LM1032A,M6 Toll between M6 Toll T8 and M6 Toll T7 (LM1032A),M6 Toll T8,M6 Toll T7,396048,307453,398792,308313
LM1033A,M6 Toll between M6 Toll T8 and M6 J11A (LM1033A),M6 Toll T8,M6 J11A,396052,307432,394927,308106
LM1034A,M6 Toll between M6 Toll T7 and M6 Toll T8 (LM1034A),M6 Toll T7,M6 Toll T8,398810,308294,396052,307432
LM1035A,M6 Toll between M6 Toll T7 and M6 Toll T6 (LM1035A),M6 Toll T7,M6 Toll T6,398792,308313,405002,307190
LM1036A,M6 Toll between M6 Toll T6 and M6 Toll T7 (LM1036A),M6 Toll T6,M6 Toll T7,405011,307168,398810,308294
LM1037A,M6 Toll between M6 Toll T5 and M6 Toll T6 (LM1037A),M6 Toll T5,M6 Toll T6,411428,305490,405011,307168
LM1038A,M6 Toll between M6 Toll T6 and M6 Toll T5 (LM1038A),M6 Toll T6,M6 Toll T5,405002,307190,410972,305752
LM1039A,M6 Toll between M6 Toll T5 and M6 Toll T4 (LM1039A),M6 Toll T5,M6 Toll T4,410972,305752,412782,304638
LM104,M11 between M11 J11 and M11 J10 (LM104),M11 J11,M11 J10,543938,253465,546520,246680
LM1040A,M6 Toll between M6 Toll T4 and M6 Toll T5 (LM1040A),M6 Toll T4,M6 Toll T5,412765,304627,411428,305490
LM1041A,M6 Toll between M6 Toll and A38 (LM1041A),M6 Toll,A38,412782,304638,413268,304672
LM1042A,M6 Toll between M6 Toll T3 and M6 Toll T4 (LM1042A),M6 Toll T3,M6 Toll T4,415656,296767,412765,304627
LM1043A,M6 Toll between M6 Toll T4 and M6 Toll T3 (LM1043A),M6 Toll T4,M6 Toll T3,412782,304638,415656,296737
LM1044A,M6 Toll between M6 Toll T3 and M6 Toll T2 (LM1044A),M6 Toll T3,M6 Toll T2,415656,296737,417973,294877
LM1045A,M6 Toll between M6 Toll T2 and M6 Toll T3 (LM1045A),M6 Toll T2,M6 Toll T3,417962,294862,415675,296691
LM1046A,M6 Toll between M6 Toll T2 and M6 Toll T1 (LM1046A),M6 Toll T2,M6 Toll T1,417973,294877,418447,293457
LM1047A,M6 Toll between M6 Toll T1 and M6 Toll T2 (LM1047A),M6 Toll T1,M6 Toll T2,418429,293686,417962,294862
LM1048A,M6 Toll between A38 and M6 Toll (LM1048A),A38,M6 Toll,413303,304599,412765,304627
LM1049A,M6 Toll between M6 J11A and M6 Toll T8 (LM1049A),M6 J11A,M6 Toll T8,394877,308203,396048,307453
LM105,M11 between M11 J9 and M11 J10 (LM105),M11 J9,M11 J10,550271,242069,546569,246570
LM1050A,M6 Toll between M6 J3A and M42 J7a (LM1050A),M6 J3A,M42 J7a,421646,286614,419331,288553
LM1051A,M6 Toll between M42 J8 and M6 J3A (LM1051A),M42 J8,M6 J3A,419168,289129,422448,286244
LM1052A,M6 Toll between M42 J8 and M6 Toll T1 (LM1052A),M42 J8,M6 Toll T1,418442,292340,418429,293686
LM1053A,M6 Toll between M6 Toll T1 and M42 J8 (LM1053A),M6 Toll T1,M42 J8,418447,293457,418712,291053
LM1054A,A1(M) between A1 and A1(M) J41 (LM1054A),A1,A1(M) J41,448821,420686,447386,423949
LM1055A,A1(M) between A1(M) J41 and A1 (LM1055A),A1(M) J41,A1,447703,423528,448658,421061
LM1056A,A1(M) between A1(M) J41 and A1(M) J42 (LM1056A),A1(M) J41,A1(M) J42,447386,423949,447388,429887
LM1057A,A1(M) between A1(M) J42 and A1(M) J41 (LM1057A),A1(M) J42,A1(M) J41,447406,429895,447703,423528
LM1058,M6 between M6J45 and M6J44 (LM1058),M6J45,M6J44,333039,566999,339395,559924
LM1059,M6 between M6J44 and M6J45 (LM1059),M6J44,M6J45,339515,559889,333032,566988
LM106,M11 between M11 J10 and M11 J9 (LM106),M11 J10,M11 J9,546520,246680,550103,242445
LM1060,M1 between M1 J29 and M1 J29A (LM1060),M1 J29,M1 J29A,445308,366864,444716,372336
LM1061,M1 between M1 J29A and M1 J29 (LM1061),M1 J29A,M1 J29,444737,372337,445360,367031
LM1062,A1(M) between A1(M) J44 and A1(M) J45 (LM1062),A1(M) J44,A1(M) J45,443085,440082,440992,445678
LM1063,A1(M) between A1(M) J45 and A1(M) J44 (LM1063),A1(M) J45,A1(M) J44,440944,445792,443090,440215
LM1064,A1(M) between A1(M) J45 and A1(M) J46 (LM1064),A1(M) J45,A1(M) J46,440992,445678,441164,449907
LM1065,A1(M) between A1(M) J46 and A1(M) J45 (LM1065),A1(M) J46,A1(M) J45,441216,449978,440944,445792
LM1066,A308(M) between M4 J8 and A308 (LM1066),M4 J8,A308,488659,178660,489469,179159
LM1067,A308(M) between A308 and M4 J8 (LM1067),A308,M4 J8,489472,179113,488722,178657
LM1068,M65 between M65 J10 and M65 J9 (LM1068),M65 J10,M65 J9,383024,432849,381436,432270
LM1069,M65 between M65 J9 and M65 J10 (LM1069),M65 J9,M65 J10,381434,432284,382972,432838
LM107,M11 between M11 J11 and M11 J12 (LM107),M11 J11,M11 J12,544014,253374,542036,256025
LM1070,M65 between M65 J9 and M65 J8 (LM1070),M65 J9,M65 J8,381436,432270,378375,431705
LM1071,M65 between M65 J8 and M65 J9 (LM1071),M65 J8,M65 J9,378372,431727,381434,432284
LM1072,M25 between M25 J1B and M25 J1A (LM1072),M25 J1B,M25 J1A,555701,173326,555887,175060
LM1073,M25 between M25 J1A and M25 J1B (LM1073),M25 J1A,M25 J1B,555911,175059,555715,173416
LM1074,M62 between M62 J32a and M62 J33 (LM1074),M62 J32a,M62 J33,446878,424114,448450,422403
LM1075,M62 between M62 J33 and M62 J32a (LM1075),M62 J33,M62 J32a,448471,422376,446865,424063
LM108,M11 between M11 J12 and M11 J11 (LM108),M11 J12,M11 J11,541988,256266,543938,253465
LM109,M11 between M11 J12 and M11 J13 (LM109),M11 J12,M11 J13,542036,256025,542034,259026
LM11,A1(M) between A1(M) J2 and A1(M) J1 (LM11),A1(M) J2,A1(M) J1,521737,205922,522512,200130
LM110,M11 between M11 J13 and M11 J12 (LM110),M11 J13,M11 J12,542060,259113,541988,256266
LM111,M11 between M11 J13 and M11 J14 (LM111),M11 J13,M11 J14,542034,259026,541727,260870
LM112,M11 between M11 J14 and M11 J13 (LM112),M11 J14,M11 J13,541717,260919,542060,259113
LM113,M11 between M11 J4 and M11 J5 (LM113),M11 J4,M11 J5,541419,189077,544053,195305
LM114,M11 between M11 J5 and M11 J4 (LM114),M11 J5,M11 J4,544332,195577,541383,189739
LM115,M11 between M11 J5 and M11 J6 (LM115),M11 J5,M11 J6,544053,195305,547000,199982
LM116,M11 between M11 J6 and M11 J5 (LM116),M11 J6,M11 J5,547026,199993,544332,195577
LM117,M11 between M11 J6 and M11 J7 (LM117),M11 J6,M11 J7,547000,199982,547655,207024
LM118,M11 between M11 J7 and M11 J6 (LM118),M11 J7,M11 J6,547718,207174,547026,199993
LM119,M11 between M11 J7 and M11 J8 (LM119),M11 J7,M11 J8,547655,207024,551466,221442
LM12,A1(M) between A1(M) J2 and A1(M) J3 (LM12),A1(M) J2,A1(M) J3,521800,205719,521229,207369
LM120,M11 between M11 J8 and M11 J7 (LM120),M11 J8,M11 J7,551541,221599,547718,207174
LM121,M11 between M11 J9 and A11 (LM121),M11 J9,A11,550271,242069,550402,244218
LM122,M11 between A11 and M11 J9 (LM122),A11,M11 J9,550415,244211,550103,242445
LM123,M11 between M11 J8 and M11 J9 (LM123),M11 J8,M11 J9,551466,221442,550271,242069
LM124,M11 between M11 J9 and M11 J8 (LM124),M11 J9,M11 J8,550103,242445,551541,221599
LM125,M180 between M18 J5 and M180 J1 (LM125),M18 J5,M180 J1,467121,411116,468263,411096
LM126,M180 between M180 J1 and M18 J5 (LM126),M180 J1,M18 J5,468389,411041,467149,410928
LM127,M180 between M180 J1 and M180 J2 (LM127),M180 J1,M180 J2,468263,411096,478351,408750
LM128,M180 between M180 J2 and M180 J1 (LM128),M180 J2,M180 J1,478346,408734,468389,411041
LM129,M180 between M180 J2 and M180 J3 (LM129),M180 J2,M180 J3,478351,408750,485487,407429
LM13,A1(M) between A1(M) J3 and A1(M) J2 (LM13),A1(M) J3,A1(M) J2,521234,207469,521737,205922
LM130,M180 between M180 J3 and M180 J2 (LM130),M180 J3,M180 J2,485493,407411,478346,408734
LM131,M180 between M180 J3 and M180 J4 (LM131),M180 J3,M180 J4,485487,407429,495599,406275
LM132,M180 between M180 J4 and M180 J3 (LM132),M180 J4,M180 J3,495710,406253,485493,407411
LM133,M180 between M180 J4 and M180 J5 (LM133),M180 J4,M180 J5,495599,406275,505016,411033
LM134,M180 between M180 J5 and M180 J4 (LM134),M180 J5,M180 J4,505170,411074,495710,406253
LM135,M181 between A18 and M180 J3 (LM135),A18,M180 J3,486283,411051,485498,407424
LM136,M181 between M180 J3 and A18 (LM136),M180 J3,A18,485482,407415,486223,411055
LM137,M18 between M18 J1 and M1 J32 (LM137),M18 J1,M1 J32,449875,392176,448130,387481
LM138,M18 between M1 J32 and M18 J1 (LM138),M1 J32,M18 J1,448098,387423,449825,392091
LM139,M18 between M18 J2 and M18 J1 (LM139),M18 J2,M18 J1,456634,398401,449875,392176
LM140,M18 between M18 J1 and M18 J2 (LM140),M18 J1,M18 J2,449825,392091,456615,398404
LM141,M18 between M18 J3 and M18 J2 (LM141),M18 J3,M18 J2,458875,399464,456634,398401
LM142,M18 between M18 J2 and M18 J3 (LM142),M18 J2,M18 J3,456615,398404,458758,399470
LM143,M18 between M18 J4 and M18 J3 (LM143),M18 J4,M18 J3,464958,405274,458875,399464
LM144,M18 between M18 J3 and M18 J4 (LM144),M18 J3,M18 J4,458758,399470,464886,405178
LM145,M18 between M18 J5 and M18 J4 (LM145),M18 J5,M18 J4,467121,411116,464958,405274
LM146,M18 between M18 J4 and M18 J5 (LM146),M18 J4,M18 J5,464886,405178,467149,410928
LM147,M18 between M18 J6 and M18 J5 (LM147),M18 J6,M18 J5,467770,414099,467121,411116
LM148,M18 between M18 J5 and M18 J6 (LM148),M18 J5,M18 J6,467149,410928,467680,414020
LM149,M18 between M18 J7 and M18 J6 (LM149),M18 J7,M18 J6,468619,421636,467770,414099
LM14A,A1(M) between A1(M) J34 and A1(M) J35 (LM14A),A1(M) J34,A1(M) J35,462362,388315,456622,398392
LM150,M18 between M18 J6 and M18 J7 (LM150),M18 J6,M18 J7,467680,414020,468904,421871
LM151,M1 between M1 J10 and M1 J10A (LM151),M1 J10,M1 J10A,508655,218483,509203,219070
LM1511,M42 between M42 J8 and M42 J7a (LM1511),M42 J8,M42 J7a,418723,290327,419168,289129
